meter_name,TIMESTAMP,TRENDFLAGS,STATUS,VALUE,TRENDFLAGS_TAG,STATUS_TAG
AAA069_AAA069_dba_kwh,1455697800006,0,0,55700.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455699600001,0,0,55704.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455701400012,0,0,55709.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455703200006,0,0,55713.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455705000003,0,0,55718.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455706800007,0,0,55722.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455708600018,0,0,55727.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455710400003,0,0,55730.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455712200020,0,0,55735.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455714000008,0,0,55739.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455715800022,0,0,55744.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455717600018,0,0,55748.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455719400012,0,0,55753.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455721200003,0,0,55757.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455723000020,0,0,55761.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455724800016,0,0,55765.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455726600010,0,0,55769.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455728400015,0,0,55774.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455730200014,0,0,55778.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455732000002,0,0,55783.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455733800009,0,0,55787.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455735600021,0,0,55792.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455737400020,0,0,55796.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455739200015,0,0,55802.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455741000013,0,0,55806.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455742800013,0,0,55810.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455744600008,0,0,55815.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455746400008,0,0,55819.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455748200017,0,0,55825.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455750000013,0,0,55829.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455751800017,0,0,55834.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455753600004,0,0,55839.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455755400017,0,0,55843.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455757200019,0,0,55848.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455759000003,0,0,55853.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455760800005,0,0,55858.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455762600014,0,0,55862.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455764400007,0,0,55866.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455766200014,0,0,55872.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455768000003,0,0,55876.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455769800015,0,0,55881.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455771600005,0,0,55886.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455773400015,0,0,55890.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455775200014,0,0,55895.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455777000009,0,0,55899.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455778800008,0,0,55904.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455780600016,0,0,55908.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455782400001,0,0,55913.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455784200019,0,0,55917.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455786000020,0,0,55921.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455787800007,0,0,55926.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455789600016,0,0,55930.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455791400009,0,0,55935.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455793200011,0,0,55939.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455795000012,0,0,55944.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455796800009,0,0,55949.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455798600007,0,0,55954.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455800400008,0,0,55958.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455802200011,0,0,55963.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455804000019,0,0,55968.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455805800019,0,0,55972.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455807600013,0,0,55977.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455809400005,0,0,55982.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455811200009,0,0,55986.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455813000016,0,0,55992.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455814800011,0,0,55997.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455816600015,0,0,56001.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455818400001,0,0,56006.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455820200010,0,0,56011.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455822000006,0,0,56015.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455823800007,0,0,56021.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455825600006,0,0,56025.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455827400002,0,0,56030.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455829200007,0,0,56035.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455831000006,0,0,56039.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455832800008,0,0,56045.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455834600003,0,0,56049.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455836400011,0,0,56055.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455838200006,0,0,56059.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455840000009,0,0,56064.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455841800019,0,0,56069.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455843600002,0,0,56074.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455845400006,0,0,56078.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455847200019,0,0,56083.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455849000013,0,0,56088.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455850800003,0,0,56092.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455852600001,0,0,56098.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455854400011,0,0,56102.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455856200011,0,0,56106.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455858000016,0,0,56112.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455859800005,0,0,56116.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455861600011,0,0,56121.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455863400005,0,0,56125.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455865200013,0,0,56129.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455867000002,0,0,56134.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455868800007,0,0,56138.1015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455870600017,0,0,56143.0,{ },{ok}
AAA069_AAA069_dba_kwh,1455872400010,0,0,56146.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455874200007,0,0,56150.69921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455876000017,0,0,56155.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455877800009,0,0,56159.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455879600005,0,0,56164.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455881400007,0,0,56169.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455883200014,0,0,56173.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455885000010,0,0,56178.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455886800010,0,0,56182.8984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455888600017,0,0,56187.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455890400015,0,0,56192.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455892200006,0,0,56196.80078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455894000015,0,0,56201.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455895800019,0,0,56206.5,{ },{ok}
AAA069_AAA069_dba_kwh,1455897600003,0,0,56210.6015625,{ },{ok}
AAA069_AAA069_dba_kwh,1455899400003,0,0,56215.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455901200008,0,0,56220.3984375,{ },{ok}
AAA069_AAA069_dba_kwh,1455903000004,0,0,56224.19921875,{ },{ok}
AAA069_AAA069_dba_kwh,1455904800014,0,0,56229.30078125,{ },{ok}
AAA069_AAA069_dba_kwh,1455906600008,0,0,56233.5,{ },{ok}
